"NO","AA","BB","CC","DD","EE","FF"
"I00A001",60,62,62,72,53,"C"
"I00A002",62,72,72,65,57,"C"
"I00A003",69,72,72,72,63,"C"
"I00A004",62,67,67,73,66,"C"
"I00A005",66,75,75,79,75,"B"
"I00A006",58,67,67,80,75,"C"
"I00A007",60,61,61,70,66,"C"
"I00A008",53,65,65,73,66,"C"
"I00A009",55,57,57,75,60,"C"
"I00A010",55,62,62,71,65,"C"
"I00A011",55,56,56,56,51,"D"
"I00A012",75,74,74,82,74,"B"
"I00A013",70,65,65,75,68,"C"
"I00A014",77,79,79,80,67,"B"
"I00A015",59,70,70,75,62,"C"
"I00A016",64,77,77,84,67,"B"
"I00A017",71,75,75,83,72,"B"
"I00A018",57,69,69,68,63,"C"
"I00A019",74,77,77,75,61,"B"
"I00A020",68,65,65,58,64,"C"
"I00A021",58,67,67,75,58,"C"
"I00A022",63,63,63,64,59,"C"
"I00A023",68,74,74,86,75,"B"
"I00A024",58,65,65,75,63,"C"
"I00A025",57,67,67,74,63,"C"
"I00A026",53,68,68,76,61,"C"
"I00A027",61,66,66,86,69,"C"
"I00A028",63,62,62,82,72,"C"
"I00A029",78,84,84,82,81,"A"
"I00A030",73,83,83,78,74,"B"
"I00A031",69,72,72,66,61,"C"
"I00A032",56,64,64,68,61,"C"
"I00A033",74,70,70,79,72,"B"
"I00A034",73,73,73,69,58,"C"
"I00A035",73,67,67,61,60,"C"
"I00A036",74,68,68,62,61,"C"
"I00A037",75,69,69,63,62,"C"
"I00A038",76,70,70,64,63,"C"
"I00A039",71,78,78,75,63,"B"
"I00A040",65,61,61,83,73,"C"
"I00A041",79,83,83,99,89,"A"
"I00A042",68,67,67,75,67,"C"
"I00A043",72,76,76,81,68,"B"
"I00A044",65,68,68,77,69,"C"
"I00A045",66,63,63,80,68,"C"
"I00A046",70,76,76,69,58,"C"
"I00A047",72,74,74,63,56,"C"
"I00A048",61,68,68,72,56,"C"
"I00A049",62,69,69,75,67,"C"
"I00A050",68,72,72,83,76,"B"
